Time,Detection,Confidence
2024-11-02 08:15:05,Fire,0.61
2024-11-02 08:15:07,Fire,0.51
2024-11-02 08:15:13,Fire,0.64
2024-11-02 08:15:24,Fire,0.68
2024-11-02 08:15:27,Fire,0.57
2024-11-02 08:15:34,Fire,0.63
2024-11-02 08:15:38,Fire,0.72
2024-11-02 08:15:41,Fire,0.59
2024-11-02 08:16:31,Fire,0.68
2024-11-02 08:16:33,Fire,0.53
2024-11-02 08:16:35,Fire,0.52
2024-11-02 08:16:47,Fire,0.76
2024-11-02 08:16:49,Fire,0.74
2024-11-02 08:16:51,Fire,0.77
2024-11-02 08:16:53,Fire,0.5
2024-11-02 08:17:01,Fire,0.51
2024-11-02 08:21:59,Fire,0.73
2024-11-02 08:22:01,Fire,0.67
2024-11-02 08:22:03,Fire,0.7
2024-11-02 08:22:05,Fire,0.51
2024-11-02 08:22:07,Fire,0.73
2024-11-02 08:22:14,Fire,0.62
2024-11-02 08:22:21,Fire,0.74
2024-11-02 08:22:27,Fire,0.65
2024-11-02 08:22:34,Fire,0.8
2024-11-02 08:22:41,Fire,0.56
2024-11-02 08:22:47,Fire,0.64
2024-11-02 08:24:23,Fire,0.66
2024-11-02 08:24:25,Fire,0.72
2024-11-02 08:24:28,Fire,0.7
2024-11-02 08:24:33,Fire,0.61
2024-11-02 08:24:38,Fire,0.62
2024-11-02 08:24:45,Fire,0.7
2024-11-02 08:24:50,Fire,0.69
2024-11-02 08:24:55,Fire,0.64
2024-11-02 08:24:59,Fire,0.69
2024-11-02 08:25:04,Fire,0.79
2024-11-02 08:25:10,Fire,0.54
2024-11-02 08:25:14,Fire,0.67
2024-11-02 08:25:19,Fire,0.73
2024-11-02 08:25:24,Fire,0.69
2024-11-02 08:25:29,Fire,0.76
2024-11-02 08:25:33,Fire,0.73
2024-11-02 08:26:25,Fire,0.64
2024-11-02 08:26:28,Fire,0.7
2024-11-02 08:26:33,Fire,0.52
2024-11-02 08:26:38,Fire,0.69
2024-11-02 08:26:43,Fire,0.65
2024-11-02 08:26:48,Fire,0.76
2024-11-02 08:26:54,Fire,0.75
2024-11-02 08:26:58,Fire,0.77
2024-11-02 08:27:03,Fire,0.82
2024-11-02 08:27:08,Fire,0.75
2024-11-02 08:27:17,Fire,0.68
2024-11-02 08:27:27,Fire,0.66
2024-11-02 08:27:33,Fire,0.74
2024-11-02 08:27:37,Fire,0.54
2024-11-02 08:27:42,Fire,0.61
2024-11-02 08:27:47,Fire,0.71
2024-11-02 08:27:51,Fire,0.69
2024-11-02 08:27:56,Fire,0.71
2024-11-02 08:28:01,Fire,0.69
2024-11-02 08:28:06,Fire,0.81
2024-11-02 08:28:10,Fire,0.75
2024-11-02 08:28:15,Fire,0.81
2024-11-02 08:28:20,Fire,0.64
2024-11-02 08:28:25,Fire,0.72
2024-11-02 08:28:29,Fire,0.56
2024-11-02 08:28:34,Fire,0.8
2024-11-02 08:28:39,Fire,0.78
2024-11-02 08:28:44,Fire,0.69
2024-11-02 08:28:48,Fire,0.62
2024-11-02 08:28:53,Fire,0.61
2024-11-02 08:28:58,Fire,0.72
2024-11-02 08:29:03,Fire,0.67
2024-11-02 08:29:07,Fire,0.76
2024-11-02 08:29:12,Fire,0.78
2024-11-02 08:29:16,Fire,0.62
2024-11-02 08:29:21,Fire,0.63
2024-11-02 08:29:26,Fire,0.59
2024-11-02 08:29:31,Fire,0.6
2024-11-02 08:29:35,Fire,0.63
2024-11-02 08:29:40,Fire,0.53
2024-11-02 08:30:09,Fire,0.52
2024-11-02 08:31:39,Fire,0.75
2024-11-02 08:31:39,Smoke,0.68
2024-11-02 08:31:41,Smoke,0.74
2024-11-02 09:03:09,Fire,0.8
2024-11-02 09:03:09,Smoke,0.31
2024-11-02 09:03:12,Fire,0.61
2024-11-02 09:03:17,Fire,0.74
2024-11-02 09:03:21,Fire,0.45
2024-11-02 09:03:26,Fire,0.6
2024-11-02 09:03:31,Fire,0.69
2024-11-02 09:03:36,Fire,0.75
2024-11-02 09:03:36,Smoke,0.28
2024-11-02 09:03:41,Fire,0.73
2024-11-02 09:03:46,Fire,0.61
2024-11-02 09:03:53,Fire,0.64
2024-11-02 09:03:57,Fire,0.64
2024-11-02 09:04:00,Fire,0.75
2024-11-02 09:04:05,Fire,0.75
2024-11-02 09:04:05,Smoke,0.36
2024-11-02 09:04:10,Fire,0.69
2024-11-02 09:04:15,Fire,0.68
2024-11-02 09:04:20,Fire,0.66
2024-11-02 09:04:27,Fire,0.66
2024-11-02 09:04:31,Fire,0.64
2024-11-02 09:04:34,Fire,0.7
2024-11-24 06:25:56,Fire,0.69
2024-11-24 06:25:59,Fire,0.52
2024-11-24 06:25:59,Smoke,0.37
2024-11-24 06:26:03,Fire,0.81
2024-11-24 06:26:08,Fire,0.61
2024-11-24 06:26:08,Smoke,0.34
2024-11-24 06:26:13,Fire,0.76
